,order_id,order_line,order_date,customer_id,product_id,quantity,bike_id,model,description,price,bikeshop_id,bikeshop_name,location,category_1,category_2,frame_material,city,state,total_price
27,7,10,2011-01-12,9,18,2,18,CAAD8 105,Road - Elite Road - Aluminum,1410,9,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Aluminum,Minneapolis,MN,2820
28,7,11,2011-01-12,9,96,1,96,Catalyst 3,Mountain - Sport - Aluminum,480,9,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Sport,Aluminum,Minneapolis,MN,480
29,7,12,2011-01-12,9,42,1,42,Slice 105,Road - Triathalon - Carbon,1950,9,Minneapolis Bike Shop,"Minneapolis, MN",Road,Triathalon,Carbon,Minneapolis,MN,1950
30,7,13,2011-01-12,9,56,1,56,Scalpel-Si Race,Mountain - Cross Country Race - Carbon,9060,9,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Carbon,Minneapolis,MN,9060
31,7,14,2011-01-12,9,93,2,93,Trail 5,Mountain - Sport - Aluminum,815,9,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Sport,Aluminum,Minneapolis,MN,1630
32,8,1,2011-01-12,16,35,1,35,Synapse Disc Tiagra,Road - Endurance Road - Aluminum,1250,16,Phoenix Bi-peds,"Phoenix, AZ",Road,Endurance Road,Aluminum,Phoenix,AZ,1250
33,8,2,2011-01-12,16,96,3,96,Catalyst 3,Mountain - Sport - Aluminum,480,16,Phoenix Bi-peds,"Phoenix, AZ",Mountain,Sport,Aluminum,Phoenix,AZ,1440
34,9,1,2011-01-17,25,29,1,29,Synapse Carbon Ultegra 4,Road - Endurance Road - Carbon,2660,25,New Orleans Velocipedes,"New Orleans, LA",Road,Endurance Road,Carbon,New Orleans,LA,2660
35,9,2,2011-01-17,25,13,2,13,CAAD12 Red,Road - Elite Road - Aluminum,3200,25,New Orleans Velocipedes,"New Orleans, LA",Road,Elite Road,Aluminum,New Orleans,LA,6400
36,9,3,2011-01-17,25,18,1,18,CAAD8 105,Road - Elite Road - Aluminum,1410,25,New Orleans Velocipedes,"New Orleans, LA",Road,Elite Road,Aluminum,New Orleans,LA,1410
37,9,4,2011-01-17,25,16,1,16,CAAD12 Disc 105,Road - Elite Road - Aluminum,1950,25,New Orleans Velocipedes,"New Orleans, LA",Road,Elite Road,Aluminum,New Orleans,LA,1950
38,9,5,2011-01-17,25,36,5,36,Synapse Sora,Road - Endurance Road - Aluminum,1030,25,New Orleans Velocipedes,"New Orleans, LA",Road,Endurance Road,Aluminum,New Orleans,LA,5150
39,10,1,2011-01-17,20,19,1,19,CAAD8 Tiagra,Road - Elite Road - Aluminum,1250,20,Portland Bi-peds,"Portland, OR",Road,Elite Road,Aluminum,Portland,OR,1250
40,11,1,2011-01-18,19,11,1,11,CAAD12 Black Inc,Road - Elite Road - Aluminum,5860,19,San Francisco Cruisers,"San Francisco, CA",Road,Elite Road,Aluminum,San Francisco,CA,5860
41,11,2,2011-01-18,19,13,2,13,CAAD12 Red,Road - Elite Road - Aluminum,3200,19,San Francisco Cruisers,"San Francisco, CA",Road,Elite Road,Aluminum,San Francisco,CA,6400
42,11,3,2011-01-18,19,10,1,10,Supersix Evo Tiagra,Road - Elite Road - Carbon,1840,19,San Francisco Cruisers,"San Francisco, CA",Road,Elite Road,Carbon,San Francisco,CA,1840
43,11,4,2011-01-18,19,39,1,39,Slice Hi-Mod Dura Ace D12,Road - Triathalon - Carbon,4500,19,San Francisco Cruisers,"San Francisco, CA",Road,Triathalon,Carbon,San Francisco,CA,4500
44,11,5,2011-01-18,19,23,1,23,Synapse Hi-Mod Disc Red,Road - Endurance Road - Carbon,7460,19,San Francisco Cruisers,"San Francisco, CA",Road,Endurance Road,Carbon,San Francisco,CA,7460
45,11,6,2011-01-18,19,65,1,65,Scalpel 29 4,Mountain - Cross Country Race - Aluminum,3200,19,San Francisco Cruisers,"San Francisco, CA",Mountain,Cross Country Race,Aluminum,San Francisco,CA,3200
46,11,7,2011-01-18,19,43,1,43,SuperX Hi-Mod CX1,Road - Cyclocross - Carbon,3500,19,San Francisco Cruisers,"San Francisco, CA",Road,Cyclocross,Carbon,San Francisco,CA,3500
47,12,1,2011-01-20,6,27,2,27,Synapse Carbon Disc Ultegra,Road - Endurance Road - Carbon,3730,6,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon,Louisville,KY,7460
48,12,2,2011-01-20,6,49,1,49,Jekyll Carbon 3,Mountain - Over Mountain - Carbon,3840,6,Louisville Race Equipment,"Louisville, KY",Mountain,Over Mountain,Carbon,Louisville,KY,3840
49,12,3,2011-01-20,6,67,1,67,F-Si Hi-Mod Team,Mountain - Cross Country Race - Carbon,9060,6,Louisville Race Equipment,"Louisville, KY",Mountain,Cross Country Race,Carbon,Louisville,KY,9060
50,12,4,2011-01-20,6,11,1,11,CAAD12 Black Inc,Road - Elite Road - Aluminum,5860,6,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Aluminum,Louisville,KY,5860
51,12,5,2011-01-20,6,26,1,26,Synapse Carbon Disc Ultegra D12,Road - Endurance Road - Carbon,4800,6,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon,Louisville,KY,4800
52,12,6,2011-01-20,6,39,1,39,Slice Hi-Mod Dura Ace D12,Road - Triathalon - Carbon,4500,6,Louisville Race Equipment,"Louisville, KY",Road,Triathalon,Carbon,Louisville,KY,4500
53,12,7,2011-01-20,6,28,1,28,Synapse Carbon Ultegra 3,Road - Endurance Road - Carbon,3200,6,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon,Louisville,KY,3200
54,12,8,2011-01-20,6,32,1,32,Syapse Carbon Tiagra,Road - Endurance Road - Carbon,1840,6,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon,Louisville,KY,1840
55,12,9,2011-01-20,6,22,1,22,Synapse Hi-Mod Disc Black Inc.,Road - Endurance Road - Carbon,9590,6,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon,Louisville,KY,9590
56,12,10,2011-01-20,6,13,1,13,CAAD12 Red,Road - Elite Road - Aluminum,3200,6,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Aluminum,Louisville,KY,3200
57,12,11,2011-01-20,6,29,1,29,Synapse Carbon Ultegra 4,Road - Endurance Road - Carbon,2660,6,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon,Louisville,KY,2660
58,12,12,2011-01-20,6,63,1,63,Scalpel 29 Carbon 2,Mountain - Cross Country Race - Carbon,5330,6,Louisville Race Equipment,"Louisville, KY",Mountain,Cross Country Race,Carbon,Louisville,KY,5330
59,12,13,2011-01-20,6,31,1,31,Synapse Carbon 105,Road - Endurance Road - Carbon,2240,6,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Carbon,Louisville,KY,2240
60,12,14,2011-01-20,6,15,1,15,CAAD12 Ultegra,Road - Elite Road - Aluminum,2240,6,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Aluminum,Louisville,KY,2240
61,12,15,2011-01-20,6,40,1,40,Slice Ultegra D12,Road - Triathalon - Carbon,3200,6,Louisville Race Equipment,"Louisville, KY",Road,Triathalon,Carbon,Louisville,KY,3200
62,12,16,2011-01-20,6,10,3,10,Supersix Evo Tiagra,Road - Elite Road - Carbon,1840,6,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Carbon,Louisville,KY,5520
63,12,17,2011-01-20,6,37,1,37,Synapse Claris,Road - Endurance Road - Aluminum,870,6,Louisville Race Equipment,"Louisville, KY",Road,Endurance Road,Aluminum,Louisville,KY,870
64,12,18,2011-01-20,6,8,1,8,Supersix Evo Ultegra 4,Road - Elite Road - Carbon,2660,6,Louisville Race Equipment,"Louisville, KY",Road,Elite Road,Carbon,Louisville,KY,2660
65,12,19,2011-01-20,6,57,1,57,Scalpel-Si Hi-Mod 1,Mountain - Cross Country Race - Carbon,7460,6,Louisville Race Equipment,"Louisville, KY",Mountain,Cross Country Race,Carbon,Louisville,KY,7460
66,13,1,2011-01-20,7,4,1,4,Supersix Evo Hi-Mod Dura Ace 2,Road - Elite Road - Carbon,5330,7,Nashville Cruisers,"Nashville, TN",Road,Elite Road,Carbon,Nashville,TN,5330
67,13,2,2011-01-20,7,18,1,18,CAAD8 105,Road - Elite Road - Aluminum,1410,7,Nashville Cruisers,"Nashville, TN",Road,Elite Road,Aluminum,Nashville,TN,1410
68,14,1,2011-01-24,14,87,1,87,Habit 5,Mountain - Trail - Aluminum,2340,14,Albuquerque Cycles,"Albuquerque, NM",Mountain,Trail,Aluminum,Albuquerque,NM,2340
69,14,2,2011-01-24,14,76,1,76,Beast of the East 1,Mountain - Trail - Aluminum,2770,14,Albuquerque Cycles,"Albuquerque, NM",Mountain,Trail,Aluminum,Albuquerque,NM,2770
70,14,3,2011-01-24,14,69,1,69,F-Si Carbon 2,Mountain - Cross Country Race - Carbon,4800,14,Albuquerque Cycles,"Albuquerque, NM",Mountain,Cross Country Race,Carbon,Albuquerque,NM,4800
71,15,1,2011-01-25,13,3,1,3,Supersix Evo Hi-Mod Dura Ace 1,Road - Elite Road - Carbon,7990,13,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Elite Road,Carbon,Oklahoma City,OK,7990
72,15,2,2011-01-25,13,35,1,35,Synapse Disc Tiagra,Road - Endurance Road - Aluminum,1250,13,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Endurance Road,Aluminum,Oklahoma City,OK,1250
73,15,3,2011-01-25,13,65,3,65,Scalpel 29 4,Mountain - Cross Country Race - Aluminum,3200,13,Oklahoma City Race Equipment,"Oklahoma City, OK",Mountain,Cross Country Race,Aluminum,Oklahoma City,OK,9600
74,15,4,2011-01-25,13,5,1,5,Supersix Evo Hi-Mod Utegra,Road - Elite Road - Carbon,4260,13,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Elite Road,Carbon,Oklahoma City,OK,4260
75,15,5,2011-01-25,13,19,1,19,CAAD8 Tiagra,Road - Elite Road - Aluminum,1250,13,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Elite Road,Aluminum,Oklahoma City,OK,1250
76,15,6,2011-01-25,13,84,2,84,Habit Carbon SE,Mountain - Trail - Carbon,4480,13,Oklahoma City Race Equipment,"Oklahoma City, OK",Mountain,Trail,Carbon,Oklahoma City,OK,8960
77,15,7,2011-01-25,13,90,1,90,Trail 2,Mountain - Sport - Aluminum,1350,13,Oklahoma City Race Equipment,"Oklahoma City, OK",Mountain,Sport,Aluminum,Oklahoma City,OK,1350
78,15,8,2011-01-25,13,16,1,16,CAAD12 Disc 105,Road - Elite Road - Aluminum,1950,13,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Elite Road,Aluminum,Oklahoma City,OK,1950
79,15,9,2011-01-25,13,1,1,1,Supersix Evo Black Inc.,Road - Elite Road - Carbon,12790,13,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Elite Road,Carbon,Oklahoma City,OK,12790
80,15,10,2011-01-25,13,88,1,88,Habit 6,Mountain - Trail - Aluminum,1950,13,Oklahoma City Race Equipment,"Oklahoma City, OK",Mountain,Trail,Aluminum,Oklahoma City,OK,1950
81,15,11,2011-01-25,13,44,1,44,SuperX Ultegra,Road - Cyclocross - Carbon,2450,13,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Cyclocross,Carbon,Oklahoma City,OK,2450
82,15,12,2011-01-25,13,22,2,22,Synapse Hi-Mod Disc Black Inc.,Road - Endurance Road - Carbon,9590,13,Oklahoma City Race Equipment,"Oklahoma City, OK",Road,Endurance Road,Carbon,Oklahoma City,OK,19180
83,16,1,2011-01-25,9,73,4,73,F-Si 3,Mountain - Cross Country Race - Aluminum,1840,9,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Aluminum,Minneapolis,MN,7360
84,16,2,2011-01-25,9,91,1,91,Trail 3,Mountain - Sport - Aluminum,1080,9,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Sport,Aluminum,Minneapolis,MN,1080
85,16,3,2011-01-25,9,95,1,95,Catalyst 2,Mountain - Sport - Aluminum,585,9,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Sport,Aluminum,Minneapolis,MN,585
86,16,4,2011-01-25,9,94,1,94,Catalyst 1,Mountain - Sport - Aluminum,705,9,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Sport,Aluminum,Minneapolis,MN,705
87,16,5,2011-01-25,9,3,1,3,Supersix Evo Hi-Mod Dura Ace 1,Road - Elite Road - Carbon,7990,9,Minneapolis Bike Shop,"Minneapolis, MN",Road,Elite Road,Carbon,Minneapolis,MN,7990
88,16,6,2011-01-25,9,72,1,72,F-Si 2,Mountain - Cross Country Race - Aluminum,2060,9,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Aluminum,Minneapolis,MN,2060
89,16,7,2011-01-25,9,65,1,65,Scalpel 29 4,Mountain - Cross Country Race - Aluminum,3200,9,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Cross Country Race,Aluminum,Minneapolis,MN,3200
90,16,8,2011-01-25,9,49,2,49,Jekyll Carbon 3,Mountain - Over Mountain - Carbon,3840,9,Minneapolis Bike Shop,"Minneapolis, MN",Mountain,Over Mountain,Carbon,Minneapolis,MN,7680
91,17,1,2011-01-26,5,38,1,38,Slice Hi-Mod Black Inc.,Road - Triathalon - Carbon,7000,5,Cincinnati Speed,"Cincinnati, OH",Road,Triathalon,Carbon,Cincinnati,OH,7000
92,18,1,2011-01-28,8,21,1,21,CAAD8 Claris,Road - Elite Road - Aluminum,815,8,Denver Bike Shop,"Denver, CO",Road,Elite Road,Aluminum,Denver,CO,815
93,18,2,2011-01-28,8,64,1,64,Scalpel 29 Carbon 3,Mountain - Cross Country Race - Carbon,4260,8,Denver Bike Shop,"Denver, CO",Mountain,Cross Country Race,Carbon,Denver,CO,4260
94,19,1,2011-01-28,2,66,2,66,F-Si Black Inc.,Mountain - Cross Country Race - Carbon,11190,2,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Cross Country Race,Carbon,Ithaca,NY,22380
95,19,2,2011-01-28,2,61,1,61,Scalpel-Si 5,Mountain - Cross Country Race - Aluminum,3200,2,Ithaca Mountain Climbers,"Ithaca, NY",Mountain,Cross Country Race,Aluminum,Ithaca,NY,3200
96,20,1,2011-01-28,10,9,1,9,Supersix Evo 105,Road - Elite Road - Carbon,2240,10,Kansas City 29ers,"Kansas City, KS",Road,Elite Road,Carbon,Kansas City,KS,2240
97,20,2,2011-01-28,10,14,1,14,CAAD Disc Ultegra,Road - Elite Road - Aluminum,2660,10,Kansas City 29ers,"Kansas City, KS",Road,Elite Road,Aluminum,Kansas City,KS,2660
98,20,3,2011-01-28,10,50,1,50,Jekyll Carbon 4,Mountain - Over Mountain - Carbon,3200,10,Kansas City 29ers,"Kansas City, KS",Mountain,Over Mountain,Carbon,Kansas City,KS,3200
99,20,4,2011-01-28,10,85,1,85,Habit Carbon 3,Mountain - Trail - Carbon,3730,10,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Carbon,Kansas City,KS,3730
100,20,5,2011-01-28,10,16,1,16,CAAD12 Disc 105,Road - Elite Road - Aluminum,1950,10,Kansas City 29ers,"Kansas City, KS",Road,Elite Road,Aluminum,Kansas City,KS,1950
101,20,6,2011-01-28,10,27,1,27,Synapse Carbon Disc Ultegra,Road - Endurance Road - Carbon,3730,10,Kansas City 29ers,"Kansas City, KS",Road,Endurance Road,Carbon,Kansas City,KS,3730
102,20,7,2011-01-28,10,79,1,79,Bad Habit 1,Mountain - Trail - Aluminum,3200,10,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Aluminum,Kansas City,KS,3200
103,20,8,2011-01-28,10,78,1,78,Beast of the East 3,Mountain - Trail - Aluminum,1620,10,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Aluminum,Kansas City,KS,1620
104,20,9,2011-01-28,10,77,1,77,Beast of the East 2,Mountain - Trail - Aluminum,2130,10,Kansas City 29ers,"Kansas City, KS",Mountain,Trail,Aluminum,Kansas City,KS,2130
105,21,1,2011-02-01,17,51,1,51,Trigger Carbon 1,Mountain - Over Mountain - Carbon,8200,17,Las Vegas Cycles,"Las Vegas, NV",Mountain,Over Mountain,Carbon,Las Vegas,NV,8200
106,21,2,2011-02-01,17,3,4,3,Supersix Evo Hi-Mod Dura Ace 1,Road - Elite Road - Carbon,7990,17,Las Vegas Cycles,"Las Vegas, NV",Road,Elite Road,Carbon,Las Vegas,NV,31960
107,21,3,2011-02-01,17,61,1,61,Scalpel-Si 5,Mountain - Cross Country Race - Aluminum,3200,17,Las Vegas Cycles,"Las Vegas, NV",Mountain,Cross Country Race,Aluminum,Las Vegas,NV,3200
108,21,4,2011-02-01,17,26,1,26,Synapse Carbon Disc Ultegra D12,Road - Endurance Road - Carbon,4800,17,Las Vegas Cycles,"Las Vegas, NV",Road,Endurance Road,Carbon,Las Vegas,NV,4800
109,21,5,2011-02-01,17,65,1,65,Scalpel 29 4,Mountain - Cross Country Race - Aluminum,3200,17,Las Vegas Cycles,"Las Vegas, NV",Mountain,Cross Country Race,Aluminum,Las Vegas,NV,3200
110,22,1,2011-02-01,21,33,2,33,Synapse Disc Adventure,Road - Endurance Road - Aluminum,2130,21,Seattle Race Equipment,"Seattle, WA",Road,Endurance Road,Aluminum,Seattle,WA,4260
111,22,2,2011-02-01,21,36,1,36,Synapse Sora,Road - Endurance Road - Aluminum,1030,21,Seattle Race Equipment,"Seattle, WA",Road,Endurance Road,Aluminum,Seattle,WA,1030
112,22,3,2011-02-01,21,74,1,74,Fat CAAD1,Mountain - Fat Bike - Aluminum,3730,21,Seattle Race Equipment,"Seattle, WA",Mountain,Fat Bike,Aluminum,Seattle,WA,3730
113,22,4,2011-02-01,21,37,1,37,Synapse Claris,Road - Endurance Road - Aluminum,870,21,Seattle Race Equipment,"Seattle, WA",Road,Endurance Road,Aluminum,Seattle,WA,870
114,22,5,2011-02-01,21,87,3,87,Habit 5,Mountain - Trail - Aluminum,2340,21,Seattle Race Equipment,"Seattle, WA",Mountain,Trail,Aluminum,Seattle,WA,7020
115,22,6,2011-02-01,21,24,1,24,Synapse Hi-Mod Dura Ace,Road - Endurance Road - Carbon,5860,21,Seattle Race Equipment,"Seattle, WA",Road,Endurance Road,Carbon,Seattle,WA,5860
116,22,7,2011-02-01,21,43,2,43,SuperX Hi-Mod CX1,Road - Cyclocross - Carbon,3500,21,Seattle Race Equipment,"Seattle, WA",Road,Cyclocross,Carbon,Seattle,WA,7000
117,22,8,2011-02-01,21,79,1,79,Bad Habit 1,Mountain - Trail - Aluminum,3200,21,Seattle Race Equipment,"Seattle, WA",Mountain,Trail,Aluminum,Seattle,WA,3200
118,22,9,2011-02-01,21,28,1,28,Synapse Carbon Ultegra 3,Road - Endurance Road - Carbon,3200,21,Seattle Race Equipment,"Seattle, WA",Road,Endurance Road,Carbon,Seattle,WA,3200
119,22,10,2011-02-01,21,10,2,10,Supersix Evo Tiagra,Road - Elite Road - Carbon,1840,21,Seattle Race Equipment,"Seattle, WA",Road,Elite Road,Carbon,Seattle,WA,3680
120,23,1,2011-02-04,8,48,1,48,Jekyll Carbon 2,Mountain - Over Mountain - Carbon,6070,8,Denver Bike Shop,"Denver, CO",Mountain,Over Mountain,Carbon,Denver,CO,6070
121,23,2,2011-02-04,8,71,1,71,F-Si 1,Mountain - Cross Country Race - Aluminum,2340,8,Denver Bike Shop,"Denver, CO",Mountain,Cross Country Race,Aluminum,Denver,CO,2340
122,23,3,2011-02-04,8,92,1,92,Trail 4,Mountain - Sport - Aluminum,980,8,Denver Bike Shop,"Denver, CO",Mountain,Sport,Aluminum,Denver,CO,980
123,23,4,2011-02-04,8,30,1,30,Synapse Carbon Disc 105,Road - Endurance Road - Carbon,2660,8,Denver Bike Shop,"Denver, CO",Road,Endurance Road,Carbon,Denver,CO,2660
124,23,5,2011-02-04,8,42,1,42,Slice 105,Road - Triathalon - Carbon,1950,8,Denver Bike Shop,"Denver, CO",Road,Triathalon,Carbon,Denver,CO,1950
125,24,1,2011-02-07,22,40,1,40,Slice Ultegra D12,Road - Triathalon - Carbon,3200,22,Ann Arbor Speed,"Ann Arbor, MI",Road,Triathalon,Carbon,Ann Arbor,MI,3200
126,24,2,2011-02-07,22,29,7,29,Synapse Carbon Ultegra 4,Road - Endurance Road - Carbon,2660,22,Ann Arbor Speed,"Ann Arbor, MI",Road,Endurance Road,Carbon,Ann Arbor,MI,18620
127,24,3,2011-02-07,22,2,3,2,Supersix Evo Hi-Mod Team,Road - Elite Road - Carbon,10660,22,Ann Arbor Speed,"Ann Arbor, MI",Road,Elite Road,Carbon,Ann Arbor,MI,31980
128,24,4,2011-02-07,22,37,1,37,Synapse Claris,Road - Endurance Road - Aluminum,870,22,Ann Arbor Speed,"Ann Arbor, MI",Road,Endurance Road,Aluminum,Ann Arbor,MI,870
129,24,5,2011-02-07,22,6,1,6,Supersix Evo Red,Road - Elite Road - Carbon,3940,22,Ann Arbor Speed,"Ann Arbor, MI",Road,Elite Road,Carbon,Ann Arbor,MI,3940
130,24,6,2011-02-07,22,73,1,73,F-Si 3,Mountain - Cross Country Race - Aluminum,1840,22,Ann Arbor Speed,"Ann Arbor, MI",Mountain,Cross Country Race,Aluminum,Ann Arbor,MI,1840
131,24,7,2011-02-07,22,42,2,42,Slice 105,Road - Triathalon - Carbon,1950,22,Ann Arbor Speed,"Ann Arbor, MI",Road,Triathalon,Carbon,Ann Arbor,MI,3900
132,24,8,2011-02-07,22,97,1,97,Catalyst 4,Mountain - Sport - Aluminum,415,22,Ann Arbor Speed,"Ann Arbor, MI",Mountain,Sport,Aluminum,Ann Arbor,MI,415
133,24,9,2011-02-07,22,92,1,92,Trail 4,Mountain - Sport - Aluminum,980,22,Ann Arbor Speed,"Ann Arbor, MI",Mountain,Sport,Aluminum,Ann Arbor,MI,980
